"issue_id","type","title","duration_days","comments_count","fixer_login","is_core_member","created_at"
"20569","PR","Semgrep Rule Fix ","0.03","3","Akhil-gi","0","2026-01-22"
"20563","PR","Fixed #36509 -- Missing aria label on input fields","3.9","1","jafarkhan83","0","2026-01-20"
"20570","PR","Fixed #36872 - Django's template engine cannot han","1.4","2","rroblf01","0","2026-01-22"
"19840","PR","Fixes #36590 - subclasses of BaseCache should use ","100.09","19","eevelweezel","0","2025-09-10"
"18934","PR","Fixed #13883 -- Rendered named choice groups with ","405.0","15","seanhelvey","0","2024-12-14"
"20543","PR","Fixed #36869 -- Optimized MigrationGraph._generate","3.69","3","jfysh-kraken","0","2026-01-16"
"20564","PR","Refs #36382 -- Fixed GDAL_VERSION comparison in gd","0.05","2","jacobtylerwalls","0","2026-01-20"
"20309","PR","Fixed #36030 -- Fixed precision loss in division o","57.26","11","VIZZARD-X","0","2025-11-24"
"20466","PR","Fixed #36639 -- Added CI step to run makemigration","25.86","3","Skyiesac","0","2025-12-25"
"20380","PR","Fixed #36701 -- Fixed memory leak in ModelState.","10.25","7","Samriddha9619","0","2025-12-08"
"19671","PR","Fixed #36055 -- Prevented overlap of object-tools ","5.95","4","Antoliny0919","0","2025-07-24"
"20558","PR","Fixed #36621 -- Fixed arrow buttons position in ad","0.3","2","VinitaPatil2005","0","2026-01-19"
"20524","PR","Fixed #36801 -- Avoided unnecessary calculation in","5.73","3","adamchainz","0","2026-01-10"
"19478","PR","Fixed #36352 -- Improved error message for fields ","243.48","4","JaeHyuckSa","0","2025-05-18"
"20461","PR","Fixed #36822 -- Added parameter limit for PostgreS","22.24","5","JaeHyuckSa","0","2025-12-25"
"20546","PR","Fixed #36779 -- Prevented DeleteModel from silentl","0.25","2","VinitaPatil2005","0","2026-01-16"
"20545","PR","Fixed #36850 -- Prevented admin filter sidebar fro","0.13","3","VinitaPatil2005","0","2026-01-16"
"20544","PR","Fixed #36850 -- Prevented admin changelist filter ","0.14","3","kundanjan","0","2026-01-16"
"20535","PR","Fixed #36856 -- Mentioned needsnewfeatureprocess r","1.2","2","aadeina","0","2026-01-14"
"20339","PR","Fixed #36793, Refs #27489 -- Fixed a test and impr","37.59","22","artirix1927","0","2025-11-29"
"20534","PR","Fixed #36855, Refs #27222 -- Mentioned multiple in","1.08","2","kundan223","0","2026-01-13"
"20460","PR","Fixed #36821 -- Treated empty strings as NULL for ","20.65","2","JaeHyuckSa","0","2025-12-25"
"20519","PR","Fixed #35402 -- Fixed crash in DatabaseFeatures.dj","4.65","3","jacobtylerwalls","0","2026-01-09"
"290","PR","Fixes ticket #18728","135.77","1","thaxter","0","2012-08-18"
"305","PR","Fixed #17922 -- Added default ""required"" css class","38.5","4","d1ffuz0r","0","2012-08-25"
"20495","PR","Fixed #35442 -- Prevented N+1 queries in RelatedMa","8.52","4","Samriddha9619","0","2026-01-05"
"20533","PR","[6.0.x] Fix VariableDoesNotExist crash in technica","0.01","2","approximated-intelligence","0","2026-01-13"
"20526","PR","Fixed #36858 -- Optimized `Field._get_default()` f","0.82","1","adamchainz","0","2026-01-11"
"18983","PR","Refs #470 -- Fixed field_defaults test failures du","21.95","8","jacobtylerwalls","0","2025-01-01"
"20529","PR","Fixed #36850 -- Constrained admin filter sidebar w","0.0","1","nileshpahari","0","2026-01-12"
"20523","PR","Ticket 33185 fix rename crash","1.97","4","HarshAlreja","0","2026-01-10"
"20184","PR","Fixed #36708 -- Initialized formset to None in Cha","56.18","4","Rudraksha-007","0","2025-11-17"
"20416","PR","Fixed #36804 -- Fixed admin system check crash for","26.83","1","parth-paradkar","0","2025-12-16"
"20410","PR","Fixed #36608 Clarify dumpdata behavior and docs fo","26.76","2","Rudraksha-007","0","2025-12-15"
"20462","PR","Fixed #36827 -- Added support for exclusion constr","15.91","4","hakib","0","2025-12-25"
"20520","PR","Fixed #36855 -- Persist pre_save cache on explicit","0.02","1","HarshAlreja","0","2026-01-09"
"20506","PR","Fixed #36851 -- Added dark mode support for Django","2.07","7","ekinertac","0","2026-01-07"
"20485","PR","Fixed #36837 -- Ensured Client.force_login verifie","7.33","2","VIZZARD-X","0","2026-01-02"
"20493","PR","Fixed #36815 -- Optimized insertion of db_default ","5.33","3","YashRaj1506","0","2026-01-04"
"20379","PR","Fixed #36783: Fixed querystring regression for mul","7.29","20","marcgibbons","0","2025-12-08"
"19794","PR","Fixed #35381 -- Added JSONNull() expression.","61.21","19","cliffordgama","0","2025-08-29"
"20504","PR","Fixed #36845 - Allow negative index in Left() for ","2.2","1","Moksha25-tech","0","2026-01-07"
"20510","PR","Fixed #36852 -- Ignored index_type case in Exclusi","0.35","4","hakib","0","2026-01-08"
"20512","PR","Clarified regression nature of data loss bug in do","0.01","1","timgraham","1","2026-01-08"
"20321","PR","Fixed #29257 -- Caught DatabaseError when attempti","42.07","3","VIZZARD-X","0","2025-11-25"
"20497","PR","Fixed #36843, #36793 -- Reverted ""Fixed #27489 -- ","0.06","1","jacobtylerwalls","0","2026-01-05"
"20481","PR","Fixed #36793 -- Fixed various issues in RenamePerm","5.01","2","jacobtylerwalls","0","2025-12-31"
"20457","PR","fixed #2399","9.83","1","VidhiKathiriya05","0","2025-12-24"
"18203","PR","Fixed #35402 -- Fixed crash in django_test_skips f","0.67","2","jacobtylerwalls","0","2024-05-28"
"20471","PR","Fixed #36829 -- Revert unintended ClearableFileInp","4.15","1","codingjoe","0","2025-12-27"
"20480","PR","Refs #33647 -- Fixed silent data truncation in bul","0.02","2","jacobtylerwalls","0","2025-12-31"
"453","PR","Sessions expiry related fixes","26.86","2","crodjer","0","2012-10-20"
"20479","PR","Refs #33647 -- Fixed silent bulk_create data trunc","0.02","2","jacobtylerwalls","0","2025-12-31"
"20468","PR","Fixed #36831 -- Added validation for CSP directive","2.98","3","naveedqadir","0","2025-12-26"
"20472","PR","Fixed #36833 -- Fixed Accept header parsing for co","2.23","2","naveedqadir","0","2025-12-27"
"20476","PR","Fixed #36836 -- Added version identification to Re","0.03","2","vchomakov","0","2025-12-29"
"20475","PR","[6.0.x] Fixed #36835 -- [template] Adding `Library","0.24","1","MagIlyasDOMA","0","2025-12-29"
"20288","PR","Fixed #36714 -- Fixed context sharing for signals.","38.07","2","Arfey","0","2025-11-21"
"20474","PR","[6.0.x] Fixed #36834 -- Fixed a bug with User inst","0.08","1","MagIlyasDOMA","0","2025-12-29"
"20312","PR","Fixed #36112 -- Added fallback in last_executed_qu","32.77","9","VIZZARD-X","0","2025-11-24"
"19990","PR","Fixed #36680 -- Made test_custom_project_template_","0.08","1","nessita","0","2025-10-22"
"20441","PR","Fixed #30515 -- Added documentation for resolve_ur","4.69","1","duane9","0","2025-12-21"
"20459","PR","Fixed #36796 -- Handled lazy routes correctly in R","1.69","2","nessita","0","2025-12-24"
"19241","PR","Fixed #36235 -- Fixed RelatedManager queryset losi","292.6","4","JaeHyuckSa","0","2025-03-08"
"20403","PR","Fixed URL resolution for lazy routes used with inc","10.51","3","kundan223","0","2025-12-14"
"20427","PR","Fixed #36810 -- Avoided __repr__ recursion in Simp","5.75","1","sean-reed","0","2025-12-18"
"442","PR","Fixed #19088 - Always escape % inside blocktrans t","9.93","2","lqc","0","2012-10-13"
"339","PR","Fixed #18916 -- Allowed non-ASCII headers.","0.26","3","aaugustin","1","2012-09-07"
"20453","PR","Refs #36787 -- Fixed lookup test crash on Oracle.","0.44","5","felixxm","1","2025-12-23"
"19886","PR","Fixed #36616 -- Added DatabaseOperations.adapt_dur","3.67","1","timgraham","1","2025-09-20"
"20437","PR","Fixed #36787 -- Fixed crash in In lookups with mix","1.24","1","JaeHyuckSa","0","2025-12-21"
"20452","PR","fix(servers): suppress HEAD bodies in runserver","0.0","1","casey-brooks","0","2025-12-23"
"348","PR","Fix for #14317 (number formatting issues)","252.72","1","rvarshney","0","2012-09-07"
"19793","PR","Fixed #36508 -- Interpreted __iexact=None on KeyTr","115.23","3","cliffordgama","0","2025-08-29"
"20418","PR","Fixed #36807 -- Fixed form field alignment under <","5.47","9","jacobtylerwalls","0","2025-12-17"
"20443","PR","Fixed #36818 -- Ensured SQLite connection before a","0.4","2","guro-Ishiguro","0","2025-12-22"
"20421","PR","Fixed #36806 -- Added system check for null kwarg ","4.15","5","nileshpahari","0","2025-12-18"
"20442","PR","Fixed #36817 -- Fixed regression in template loadi","0.34","2","varunkasyap","0","2025-12-22"
"20271","PR","Fixed #36305 -- Added documentation indentation gu","33.11","1","Ankan0503","0","2025-11-19"
"20055","PR","Fixed #24920 -- Added support for DecimalField wit","13.08","2","felixxm","1","2025-11-04"
"20420","PR","Fixed #36786 -- Fixed XML serialization of None va","4.6","4","2ykwang","0","2025-12-18"
"20422","PR","Fixed #36376 -- Fixed color suppression in argpars","4.33","4","Skyiesac","0","2025-12-18"
"20438","PR","Fixed typo in django/db/backends/base/schema.py co","0.81","1","JaeHyuckSa","0","2025-12-21"
"288","PR","Fixed #3542 -- Add support for changing granularit","0.01","1","mjtamlyn","0","2012-08-18"
"19939","PR","Fixed typos in docs/internals/contributing/writing","1.59","2","cliffordgama","0","2025-10-09"
"19938","PR","Fixed #36622 -- Prevented LazyObject FileField sto","6.06","2","cliffordgama","0","2025-10-09"
"19363","PR","Fixed #33091 -- Raised FieldError when updating a ","1.53","1","cliffordgama","0","2025-04-08"
"18738","PR","Fixed #26220 -- Allowed ModelFormMixin to retrieve","161.99","5","cliffordgama","0","2024-10-29"
"18621","PR","Fixed #27880 -- Replaced usages of `contribute_to_","24.65","1","cliffordgama","0","2024-09-26"
"20435","PR","Fixed #29222 -- Wrapped Oracle pattern lookups wit","0.05","2","WalkingDevFlag","0","2025-12-21"
"181","PR","Scaping <fixturename> to \<fixturename\>.","22.09","3","deniscostadsc","0","2012-07-03"
"174","PR","Fixed #17914 — reverse() does not support namespac","592.29","2","bradleyayers","0","2012-06-25"
"172","PR","Fixed #15223 -- Changed is removed messages to uns","340.4","1","ashutosh-dwivedi-e3502","0","2012-06-25"
"20426","PR","Fixed #36618 -- Corrected error message in BaseFor","0.96","2","nileshpahari","0","2025-12-18"
"19898","PR","Fixed #36618 -- Allowed Form.add_error() with Vali","86.75","3","The5cheduler","0","2025-09-24"
"20395","PR","Fixed #36791 -- Made MigrationAutodetector recreat","6.82","1","JohananOppongAmoateng","0","2025-12-12"
"20423","PR","Fixed #36808 -- Require name argument in UniqueCon","1.04","1","jonbiemond","0","2025-12-18"
"19609","PR","Fixed #36487 -- Fixed logger error message with pa","172.21","7","krishna-holvi","0","2025-06-30"
"20400","PR","Fixed #36781 -- Added Granian to deployment docume","6.07","1","JaeHyuckSa","0","2025-12-13"
"20419","PR","Fixed #36809 -- Added domain_part to EmailValidato","1.02","5","DanielEOnetti","0","2025-12-17"
"20415","PR","Fixed #36794 -- Cached Python virtual environment ","2.05","7","nileshpahari","0","2025-12-16"
"20270","PR","Fixed #36740 -- Favored pyproject.toml for packagi","29.07","19","p-r-a-v-i-n","0","2025-11-19"
